cid,w_start,w_end,active_days,n_rows,days_with_readings
7245,2020-01-01 22:43:54.768,2024-04-29 12:59:10.511,1581,2779,1569
27929,2023-09-07 17:08:32.173,2024-04-29 14:46:58.612,236,5761,236
10073,2024-01-17 16:05:59.951,2024-04-30 12:31:45.156,105,2771,105
20155,2020-03-27 05:32:11.431,2024-04-30 09:11:40.737,1496,2381,932
2609,2020-01-01 18:23:48.744,2024-04-29 23:21:43.982,1581,2844,1579
6909,2020-01-02 00:32:30.050,2024-04-30 12:44:19.624,1581,1813,1417
27928,2023-07-17 12:34:08.355,2024-04-30 11:05:48.776,289,5282,231
10127,2020-01-01 09:41:54.475,2024-04-29 17:27:21.451,1581,2901,1566
16060,2020-01-01 18:22:55.686,2024-04-30 12:12:11.583,1582,2181,1548
10114,2020-01-01 06:58:56.498,2024-04-29 14:25:08.804,1581,2572,1499
3317,2020-01-01 23:59:18.115,2024-04-29 19:15:36.773,1581,1984,1514
11790,2020-01-01 05:26:14.545,2024-04-30 08:47:43.172,1582,3180,1569
10121,2020-01-01 00:57:10.245,2024-04-29 12:35:22.169,1581,2789,1551
3133,2020-01-01 00:40:23.989,2024-04-29 15:04:43.760,1581,2616,1418
10152,2023-06-15 10:43:21.730,2024-04-30 09:39:44.725,321,7623,321
10192,2020-01-01 17:07:41.622,2024-04-30 06:46:10.678,1582,1856,1551
11983,2020-01-01 04:21:01.688,2024-04-30 08:41:03.362,1582,2880,1560
11782,2020-01-01 13:23:13.925,2024-04-30 10:01:20.878,1582,2027,1540
27963,2023-09-07 09:51:18.106,2024-04-30 11:06:07.063,237,5856,237
18711,2020-02-20 17:35:22.276,2024-04-24 13:48:06.468,1526,1711,998
17883,2020-01-01 03:08:25.846,2024-04-30 12:32:02.919,1582,2943,1561
11565,2021-01-12 23:14:24.223,2024-04-29 14:04:15.443,1204,1267,913
7948,2023-06-20 06:19:21.540,2024-04-30 07:39:05.558,316,7792,316
10206,2020-01-01 14:26:36.662,2024-04-30 11:43:42.902,1582,2445,1238
11798,2020-01-01 04:12:23.644,2024-04-29 23:10:47.224,1581,2121,1554
18705,2020-05-05 14:44:00.894,2024-04-29 15:37:01.981,1456,1166,832
18704,2020-10-28 19:47:04.250,2024-04-29 18:38:41.594,1280,2155,866
10167,2020-02-04 18:41:23.040,2024-03-23 14:32:56.594,1510,2388,1275
11549,2020-01-01 05:05:29.502,2024-04-29 18:52:35.230,1581,2214,1514
6230,2020-01-01 09:42:53.983,2024-04-30 08:59:55.636,1582,2588,1495
5977,2020-01-01 02:58:47.088,2024-04-30 05:18:15.635,1582,2073,1446
16853,2023-05-14 08:03:15.741,2024-04-30 08:13:58.999,353,8856,353
3340,2020-01-01 23:45:17.104,2024-04-30 03:40:49.445,1582,3010,1538
10085,2020-01-01 15:42:05.375,2024-04-30 06:39:36.741,1582,1925,1546
2946,2020-02-05 17:12:50.110,2024-04-29 16:47:57.355,1546,2186,1479
11989,2020-01-02 05:40:33.601,2024-04-30 06:21:49.539,1581,2408,1288
6911,2020-01-01 20:39:46.664,2024-04-30 10:43:16.891,1582,2817,1577
11854,2020-01-01 06:15:55.427,2023-07-18 14:28:44.633,1295,2392,1238
5730,2020-01-01 02:19:09.944,2024-04-29 15:01:30.126,1581,2201,1575
16663,2020-01-01 00:05:50.227,2024-04-29 23:08:36.766,1581,2155,1576
1527,2023-06-16 18:50:41.313,2024-04-30 04:37:33.442,320,7584,320
10189,2020-01-01 00:25:59.202,2024-04-30 10:55:50.146,1582,2575,1558
5937,2020-01-01 06:24:50.202,2024-04-30 09:30:24.430,1582,4148,1522
25826,2023-07-17 15:10:48.220,2024-04-30 08:44:23.670,289,5212,230
18177,2021-02-25 15:42:13.782,2024-04-30 12:02:49.617,1161,2462,1161
1410,2020-01-01 13:02:43.311,2024-04-30 07:09:03.307,1582,2577,1574
10079,2020-01-01 08:43:47.386,2024-04-30 10:47:15.790,1582,2334,1578
7247,2020-02-05 17:05:03.270,2024-04-30 08:58:37.262,1547,2654,1490
13138,2020-01-01 19:41:23.591,2024-04-29 19:08:33.332,1581,2097,1568
3264,2020-01-01 00:33:26.291,2024-04-29 15:09:15.360,1581,1886,1391
25591,2023-09-10 01:12:10.524,2024-04-29 20:47:31.989,233,5665,233
12290,2020-09-17 15:08:01.397,2024-04-30 06:59:45.925,1322,1732,1304
11986,2020-01-01 05:16:40.607,2024-04-29 22:47:30.070,1581,2291,1518
6236,2020-01-01 21:28:35.945,2024-04-29 21:09:41.255,1581,2095,1576
5814,2020-01-01 04:07:18.989,2024-04-30 12:36:54.650,1582,2145,1579
27931,2023-09-07 11:15:56.109,2024-04-29 19:25:27.319,236,5789,236
7733,2020-01-01 17:59:19.650,2024-04-30 11:20:43.388,1582,2511,1320
16332,2020-01-01 16:54:38.070,2024-04-29 21:04:12.854,1581,2385,1316
11800,2020-02-05 17:09:55.361,2024-04-29 23:56:54.904,1546,2324,1481
11563,2020-09-18 13:23:41.676,2024-04-29 22:26:05.169,1320,1738,1312
18717,2023-11-01 20:04:07.085,2024-04-29 20:53:06.765,181,9861,180
754,2020-01-01 03:37:00.343,2024-04-30 09:12:14.615,1582,2512,1540
10170,2020-02-05 17:07:50.974,2024-04-29 20:49:51.663,1546,2966,1521
24671,2023-07-16 21:40:38.473,2024-04-30 03:21:15.597,290,5043,227
10174,2020-01-01 10:01:00.411,2024-04-26 14:27:00.855,1578,2442,1441
2684,2023-06-16 15:42:27.446,2024-04-29 22:02:59.797,319,7722,319
11557,2023-06-14 20:36:21.514,2024-04-30 08:34:26.441,322,7935,322
6901,2020-09-18 08:58:39.237,2024-04-29 20:37:10.904,1320,1989,1317
7253,2020-03-04 16:49:37.953,2024-04-30 04:04:26.957,1519,2004,1339
7244,2020-05-09 00:10:52.442,2023-08-23 13:19:39.405,1202,1670,1039
14339,2023-06-16 13:40:03.415,2024-04-30 06:45:44.903,320,7751,320
6233,2020-01-01 00:40:12.929,2024-04-30 01:15:07.268,1582,2115,1580
10173,2020-01-01 02:42:40.602,2024-04-29 19:34:14.023,1581,2169,1575
11813,2020-03-04 16:55:40.552,2024-04-29 14:23:09.182,1518,2010,1262
11842,2020-01-01 00:44:18.964,2024-04-30 03:10:25.166,1582,2543,1579
11987,2020-02-05 17:05:59.603,2024-04-30 11:11:22.038,1547,2611,1409
1018,2023-05-15 11:05:54.392,2024-04-30 08:21:58.958,352,8773,352
10091,2021-02-12 09:26:10.366,2024-04-30 12:14:39.055,1174,1430,864
10161,2021-02-25 15:48:19.178,2024-04-30 10:22:05.265,1161,1699,1016
10133,2024-01-22 17:08:04.974,2024-04-29 16:11:13.591,99,2305,99
27965,2023-09-08 00:05:27.349,2024-04-30 12:05:28.380,236,5865,236
2336,2020-01-01 01:28:13.890,2024-04-30 05:58:07.262,1582,2880,1566
11781,2020-01-02 00:03:17.165,2024-04-29 18:35:41.151,1580,2129,1551
10172,2021-02-25 15:35:21.403,2024-04-30 10:10:33.321,1161,1259,889
17821,2020-09-18 08:52:53.564,2024-04-30 02:03:30.673,1321,2756,1320
21989,2023-07-17 18:28:40.764,2024-04-30 07:52:50.907,289,5149,230
2508,2023-06-14 21:34:41.585,2024-04-30 07:12:15.724,322,7808,322
1171,2020-01-01 05:35:41.363,2024-04-29 14:53:57.990,1581,1876,1186
7402,2021-05-05 17:06:09.182,2024-04-30 06:43:07.318,1092,1813,1090
16340,2020-09-17 14:17:44.657,2024-04-30 00:49:30.678,1322,2147,1321
1170,2023-06-16 17:10:34.640,2024-04-30 00:01:52.005,320,7747,320
11817,2020-01-01 00:53:00.386,2024-04-29 15:27:25.382,1581,1660,1130
11113,2024-01-17 02:03:41.322,2024-04-30 09:08:08.418,105,2430,105
1299,2020-01-09 08:05:46.863,2023-09-30 15:48:42.299,1361,3095,1166
12460,2020-01-01 07:55:17.329,2024-04-29 20:35:12.137,1581,2621,1539
27930,2023-10-05 03:03:48.008,2024-04-29 21:40:57.484,208,4994,208
16825,2020-05-05 16:11:26.449,2024-04-29 13:34:06.745,1456,1845,1278
13939,2020-03-19 14:39:58.459,2024-04-29 14:43:39.078,1503,2620,1278
894,2020-01-01 13:54:01.768,2024-04-30 07:58:14.472,1582,3216,1337
10158,2020-01-01 23:44:17.607,2024-04-29 19:16:27.972,1581,2547,1552
18707,2020-05-05 13:06:02.531,2024-04-30 12:59:24.324,1457,1822,1216
11773,2020-01-01 06:56:22.406,2024-04-30 03:09:00.508,1582,1994,1579
1715,2020-01-02 17:54:25.546,2024-04-29 16:20:53.919,1580,1844,1316
12656,2020-01-01 19:07:57.111,2024-04-29 17:27:37.193,1581,2635,1541
11860,2020-02-05 17:09:38.224,2024-04-30 06:56:19.287,1547,3108,1520
11818,2020-01-01 19:10:28.427,2024-04-29 17:49:01.222,1581,2161,1564
995,2020-01-01 10:24:50.425,2024-04-30 12:30:48.736,1582,2686,1580
7251,2020-01-01 19:59:48.787,2024-04-30 04:15:03.901,1582,2965,1510
10197,2020-01-01 12:17:44.571,2024-04-29 23:10:29.618,1581,2082,1573
5525,2020-01-01 21:26:57.961,2024-04-29 22:31:20.489,1581,2943,1576
11967,2020-10-30 16:29:27.988,2024-04-30 02:33:47.218,1279,1670,1224
14278,2020-02-05 17:05:05.017,2024-04-29 17:52:33.005,1546,2672,1538
27962,2023-10-05 07:00:18.786,2024-04-30 10:49:35.535,209,4946,209
10202,2020-09-17 14:15:09.041,2024-04-29 15:28:32.702,1321,1888,1140
10164,2020-01-01 10:45:35.738,2024-04-30 12:13:13.502,1582,3035,1562
11590,2020-01-02 23:59:34.139,2024-04-29 23:55:56.280,1580,1725,1371
5933,2020-01-01 05:56:45.110,2024-04-30 00:01:08.033,1582,2978,1515
10799,2020-01-01 23:27:34.850,2024-04-30 12:57:52.265,1582,2653,1551
11873,2020-01-01 16:01:21.904,2024-04-29 17:23:53.520,1581,2451,1556
31420,2024-03-06 01:27:23.194,2024-04-30 10:46:01.821,56,1492,56
18302,2020-01-01 06:12:06.832,2024-04-30 09:52:14.942,1582,2547,1430
991,2020-02-05 17:13:57.755,2024-04-29 17:55:55.481,1546,2640,1534
27966,2023-09-07 10:13:43.236,2024-04-30 07:57:06.997,237,5839,237
20862,2020-10-23 21:51:36.317,2024-04-30 07:38:02.040,1286,1609,1188
1172,2020-01-01 03:21:49.040,2024-04-30 08:26:28.641,1582,2605,1571
12732,2021-01-16 11:02:57.497,2024-04-30 12:13:37.398,1201,1751,1197
20821,2020-01-01 08:15:59.420,2024-04-30 07:44:38.043,1582,2725,1417
3336,2020-01-01 06:24:05.365,2024-04-29 18:24:56.436,1581,1705,1377
5931,2020-01-01 01:22:51.681,2024-04-30 04:21:17.971,1582,3043,1555
16540,2020-01-01 00:34:03.864,2024-04-30 10:20:08.647,1582,2147,1521
11772,2023-06-13 17:13:01.911,2024-04-30 04:49:57.641,323,8190,323
11990,2020-01-01 16:11:38.386,2023-10-18 15:44:05.534,1387,2838,1207
9419,2020-02-05 17:04:10.528,2024-04-30 11:52:30.946,1547,3369,1464
11806,2020-01-01 16:48:04.306,2024-04-29 23:08:17.778,1581,1907,1548
11828,2020-01-01 21:24:18.788,2024-04-29 20:14:59.405,1581,2105,1547
9594,2023-06-16 11:38:26.975,2024-04-30 09:30:12.166,320,8622,318
14338,2020-01-01 00:56:44.993,2024-04-30 12:28:59.133,1582,2251,1531
27048,2023-09-08 08:59:00.826,2024-04-30 11:28:46.674,236,5874,236
