date,n_trips,kg_total,km_total,driver_prefill_median,sensor_fillpct_median
2020-01-01,0,0.0,0.0,,100.0
2020-01-02,12,27620.0,1433.0,75.0,100.0
2020-01-03,13,28740.0,1798.0,100.0,100.0
2020-01-04,4,14080.0,550.0,75.0,100.0
2020-01-05,0,0.0,0.0,,100.0
2020-01-06,13,34340.0,1466.0,75.0,100.0
2020-01-07,7,15600.0,867.0,75.0,100.0
2020-01-08,10,30880.0,1365.0,75.0,100.0
2020-01-09,9,17760.0,1202.0,100.0,100.0
2020-01-10,10,19740.0,1166.0,75.0,100.0
2020-01-11,3,15000.0,440.0,50.0,100.0
2020-01-12,0,0.0,0.0,,100.0
2020-01-13,12,30940.0,1519.0,75.0,100.0
2020-01-14,5,11760.0,603.0,87.5,100.0
2020-01-15,14,34940.0,1880.0,75.0,100.0
2020-01-16,10,20320.0,1202.0,75.0,100.0
2020-01-17,10,28880.0,1115.0,62.5,100.0
2020-01-18,2,3220.0,275.0,62.5,100.0
2020-01-19,0,0.0,0.0,,100.0
2020-01-20,9,21940.0,1021.0,62.5,100.0
2020-01-21,10,27900.0,1207.0,75.0,100.0
2020-01-22,11,24280.0,1225.0,50.0,100.0
2020-01-23,9,16480.0,1101.0,75.0,100.0
2020-01-24,8,26580.0,934.0,87.5,100.0
2020-01-25,5,9260.0,812.0,50.0,100.0
2020-01-26,0,0.0,0.0,,100.0
2020-01-27,12,35320.0,1769.0,50.0,100.0
2020-01-28,12,27480.0,1583.0,75.0,100.0
2020-01-29,11,25400.0,1471.0,50.0,100.0
2020-01-30,9,23460.0,1162.0,50.0,100.0
2020-01-31,8,15360.0,899.0,50.0,100.0
2020-02-01,3,6340.0,458.0,50.0,100.0
2020-02-02,0,0.0,0.0,,100.0
2020-02-03,16,53280.0,1966.0,75.0,100.0
2020-02-04,10,20640.0,1303.0,75.0,100.0
2020-02-05,11,30680.0,1532.0,50.0,100.0
2020-02-06,13,40660.0,1858.0,50.0,100.0
2020-02-07,12,24680.0,1412.0,75.0,100.0
2020-02-08,0,0.0,0.0,,100.0
2020-02-09,0,0.0,0.0,,100.0
2020-02-10,9,22060.0,1042.0,50.0,100.0
2020-02-11,8,23240.0,1037.0,75.0,100.0
2020-02-12,14,37020.0,1902.0,75.0,100.0
2020-02-13,11,21420.0,1225.0,75.0,100.0
2020-02-14,10,26500.0,1498.0,75.0,100.0
2020-02-15,5,8480.0,685.0,62.5,100.0
2020-02-16,0,0.0,0.0,,100.0
2020-02-17,11,30900.0,1294.0,75.0,100.0
2020-02-18,10,29060.0,1258.0,75.0,100.0
2020-02-19,12,31720.0,1431.0,50.0,100.0
2020-02-20,11,26040.0,1264.0,75.0,100.0
2020-02-21,7,14340.0,797.0,75.0,100.0
2020-02-22,6,10340.0,953.0,50.0,100.0
2020-02-23,0,0.0,0.0,,100.0
2020-02-24,13,34540.0,1377.0,75.0,100.0
2020-02-25,6,12000.0,848.0,75.0,100.0
2020-02-26,13,29380.0,1684.0,75.0,100.0
2020-02-27,8,14700.0,915.0,75.0,100.0
2020-02-28,12,32980.0,1548.0,50.0,100.0
2020-02-29,7,13680.0,927.0,75.0,100.0
2020-03-01,0,0.0,0.0,,100.0
2020-03-02,15,37280.0,1798.0,75.0,100.0
2020-03-03,7,26860.0,792.0,75.0,100.0
2020-03-04,7,24480.0,852.0,50.0,100.0
2020-03-05,8,27960.0,1023.0,50.0,100.0
2020-03-06,14,32900.0,1801.0,62.5,100.0
2020-03-07,5,7480.0,787.0,50.0,100.0
2020-03-08,0,0.0,0.0,,100.0
2020-03-09,14,40380.0,1745.0,75.0,100.0
2020-03-10,9,18800.0,1148.0,50.0,100.0
2020-03-11,11,20200.0,1574.0,50.0,100.0
2020-03-12,10,18500.0,1098.0,75.0,100.0
2020-03-13,10,13480.0,1194.0,75.0,100.0
2020-03-14,3,13140.0,505.0,50.0,100.0
2020-03-15,0,0.0,0.0,,100.0
2020-03-16,9,20980.0,1010.0,75.0,100.0
2020-03-17,9,27400.0,1034.0,50.0,100.0
2020-03-18,13,29200.0,1551.0,100.0,100.0
2020-03-19,9,18840.0,1203.0,75.0,100.0
2020-03-20,10,30800.0,1325.0,50.0,100.0
2020-03-21,2,4240.0,294.0,75.0,100.0
2020-03-22,0,0.0,0.0,,100.0
2020-03-23,9,21500.0,1018.0,100.0,100.0
2020-03-24,10,22700.0,1077.0,62.5,100.0
2020-03-25,10,28000.0,1452.0,62.5,100.0
2020-03-26,8,18300.0,969.0,75.0,100.0
2020-03-27,9,20260.0,995.0,75.0,100.0
2020-03-28,8,19060.0,1352.0,100.0,100.0
2020-03-29,0,0.0,0.0,,100.0
2020-03-30,12,31940.0,1290.0,62.5,100.0
2020-03-31,10,27060.0,1305.0,75.0,100.0
2020-04-01,7,23000.0,939.0,50.0,100.0
2020-04-02,9,17560.0,1086.0,75.0,100.0
2020-04-03,9,20480.0,1147.0,75.0,100.0
2020-04-04,2,3320.0,233.0,62.5,100.0
2020-04-05,0,0.0,0.0,,100.0
2020-04-06,10,31400.0,1251.0,75.0,100.0
2020-04-07,11,25340.0,1301.0,50.0,100.0
2020-04-08,10,31800.0,1310.0,50.0,100.0
2020-04-09,11,33380.0,1637.0,50.0,100.0
2020-04-10,10,32500.0,1140.0,50.0,100.0
2020-04-11,3,7540.0,479.0,75.0,100.0
2020-04-12,0,0.0,0.0,,100.0
2020-04-13,13,35760.0,1647.0,50.0,100.0
2020-04-14,7,15840.0,893.0,75.0,100.0
2020-04-15,12,26660.0,1667.0,50.0,100.0
2020-04-16,10,30540.0,1174.0,75.0,100.0
2020-04-17,12,35660.0,1618.0,50.0,100.0
2020-04-18,1,2440.0,243.0,100.0,100.0
2020-04-19,0,0.0,0.0,,100.0
2020-04-20,10,32700.0,1092.0,75.0,100.0
2020-04-21,10,22820.0,1252.0,75.0,100.0
2020-04-22,12,35400.0,1721.0,50.0,100.0
2020-04-23,10,21840.0,1349.0,75.0,100.0
2020-04-24,10,23560.0,1250.0,75.0,100.0
2020-04-25,6,11920.0,770.0,75.0,100.0
2020-04-26,0,0.0,0.0,,100.0
2020-04-27,16,51040.0,2157.0,75.0,100.0
2020-04-28,8,21520.0,787.0,75.0,100.0
2020-04-29,10,29560.0,1330.0,100.0,100.0
2020-04-30,7,15260.0,871.0,75.0,100.0
2020-05-01,10,21180.0,1239.0,87.5,100.0
2020-05-02,3,5820.0,433.0,50.0,100.0
2020-05-03,0,0.0,0.0,,100.0
2020-05-04,10,23100.0,1103.0,62.5,100.0
2020-05-05,14,33060.0,1867.0,75.0,100.0
2020-05-06,12,26160.0,1739.0,75.0,100.0
2020-05-07,12,50200.0,1572.0,50.0,100.0
2020-05-08,8,30660.0,995.0,50.0,100.0
2020-05-09,3,6360.0,353.0,75.0,100.0
2020-05-10,0,0.0,0.0,,100.0
2020-05-11,13,38200.0,1767.0,75.0,100.0
2020-05-12,10,30140.0,1270.0,50.0,100.0
2020-05-13,7,16440.0,941.0,100.0,100.0
2020-05-14,11,22500.0,1456.0,75.0,100.0
2020-05-15,13,34600.0,1546.0,50.0,100.0
2020-05-16,6,13700.0,931.0,75.0,100.0
2020-05-17,0,0.0,0.0,,100.0
2020-05-18,11,42600.0,1258.0,75.0,100.0
2020-05-19,8,18000.0,935.0,75.0,100.0
2020-05-20,10,21000.0,1544.0,50.0,100.0
2020-05-21,9,20360.0,1010.0,75.0,100.0
2020-05-22,11,23520.0,1277.0,62.5,100.0
2020-05-23,3,6080.0,485.0,75.0,100.0
2020-05-24,0,0.0,0.0,,100.0
2020-05-25,11,26500.0,1364.0,75.0,100.0
2020-05-26,9,28140.0,1213.0,75.0,100.0
2020-05-27,11,31060.0,1556.0,75.0,100.0
2020-05-28,11,36760.0,1425.0,75.0,100.0
2020-05-29,12,33020.0,1626.0,50.0,100.0
2020-05-30,4,8360.0,510.0,50.0,100.0
2020-05-31,0,0.0,0.0,,100.0
2020-06-01,12,27920.0,1417.0,75.0,100.0
2020-06-02,8,19580.0,1060.0,75.0,100.0
2020-06-03,8,16780.0,1127.0,87.5,100.0
2020-06-04,9,18900.0,1078.0,75.0,100.0
2020-06-05,9,18080.0,1033.0,75.0,100.0
2020-06-06,6,11120.0,973.0,100.0,100.0
