month,n_trips,kg_total,km_total,kg_per_km,driver_prefill_median,sensor_fillpct_median
2020-01,238,587280.0,30065.0,19.53,75.0,100.0
2020-02,238,594680.0,30214.0,19.68,75.0,100.0
2020-03,241,601740.0,30192.0,19.93,75.0,100.0
2020-04,236,638840.0,30344.0,21.05,75.0,100.0
2020-05,242,647520.0,31415.0,20.61,75.0,100.0
2020-06,239,584920.0,30341.0,19.28,75.0,100.0
2020-07,245,622300.0,31482.0,19.77,75.0,100.0
2020-08,260,735440.0,34046.0,21.6,75.0,100.0
2020-09,238,610020.0,30560.0,19.96,75.0,100.0
2020-10,227,551360.0,29050.0,18.98,75.0,98.78
2020-11,209,503080.0,27283.0,18.44,75.0,33.54
2020-12,208,516980.0,26762.0,19.32,75.0,32.93
2021-01,204,467660.0,25585.0,18.28,62.5,32.93
2021-02,203,549940.0,26033.0,21.12,75.0,34.15
2021-03,223,561620.0,29329.0,19.15,87.5,40.85
2021-04,227,587040.0,29073.0,20.19,75.0,40.24
2021-05,236,603720.0,30235.0,19.97,75.0,40.85
2021-06,240,616380.0,30736.0,20.05,81.2,40.24
2021-07,262,662420.0,34446.0,19.23,75.0,42.68
2021-08,278,724220.0,36713.0,19.73,75.0,38.41
2021-09,250,643460.0,32905.0,19.56,75.0,40.24
2021-10,245,597480.0,31289.0,19.1,75.0,40.85
2021-11,227,527820.0,29902.0,17.65,75.0,39.63
2021-12,233,565280.0,30262.0,18.68,75.0,40.24
2022-01,221,537580.0,28318.0,18.98,75.0,42.68
2022-02,203,473320.0,26257.0,18.03,75.0,40.24
2022-03,236,581800.0,31230.0,18.63,75.0,40.24
2022-04,218,515140.0,28122.0,18.32,75.0,40.24
2022-05,222,515000.0,28870.0,17.84,75.0,41.46
2022-06,215,526500.0,28302.0,18.6,100.0,40.24
2022-07,217,538080.0,28708.0,18.74,100.0,42.68
2022-08,237,583580.0,31617.0,18.46,100.0,43.9
2022-09,211,540660.0,27541.0,19.63,75.0,42.68
2022-10,179,470300.0,23387.0,20.11,75.0,41.46
2022-11,178,485960.0,23015.0,21.11,75.0,39.94
2022-12,169,470320.0,22782.0,20.64,75.0,41.46
2023-01,175,488360.0,23034.0,21.2,75.0,40.97
2023-02,139,329360.0,17809.0,18.49,75.0,43.9
2023-03,150,391800.0,19260.0,20.34,75.0,42.68
2023-04,141,359200.0,18041.0,19.91,100.0,42.68
2023-05,140,387420.0,17896.0,21.65,100.0,43.9
2023-06,127,356320.0,16862.0,21.13,75.0,45.12
2023-07,130,379800.0,17524.0,21.67,100.0,51.81
2023-08,134,403500.0,18159.0,22.22,100.0,46.34
2023-09,124,380580.0,17478.0,21.77,100.0,42.68
2023-10,105,325880.0,14912.0,21.85,100.0,46.34
2023-11,102,301360.0,14358.0,20.99,100.0,45.12
2023-12,106,310500.0,15048.0,20.63,100.0,46.34
2024-01,97,310260.0,14708.0,21.09,100.0,46.34
2024-02,68,196260.0,9857.0,19.91,100.0,45.12
2024-03,43,138600.0,6604.0,20.99,100.0,46.34
2024-04,48,150300.0,10632.0,14.14,100.0,46.34
