season,season_name,n_trips,kg_total,km_total,kg_per_km,driver_prefill_median,sensor_fillpct_median,partial
2020-DJF,winter,476,1181960.0,60279.0,19.61,75.0,100.0,partial
2020-MAM,spring,719,1888100.0,91951.0,20.53,75.0,100.0,
2020-JJA,summer,744,1942660.0,95869.0,20.26,75.0,100.0,
2020-SON,autumn,674,1664460.0,86893.0,19.16,75.0,98.78,
2021-DJF,winter,615,1534580.0,78380.0,19.58,75.0,32.93,
2021-MAM,spring,686,1752380.0,88637.0,19.77,75.0,40.24,
2021-JJA,summer,780,2003020.0,101895.0,19.66,75.0,40.24,
2021-SON,autumn,722,1768760.0,94096.0,18.8,75.0,40.24,
2022-DJF,winter,657,1576180.0,84837.0,18.58,75.0,40.24,
2022-MAM,spring,676,1611940.0,88222.0,18.27,75.0,40.24,
2022-JJA,summer,669,1648160.0,88627.0,18.6,100.0,41.46,
2022-SON,autumn,568,1496920.0,73943.0,20.24,75.0,41.21,
2023-DJF,winter,483,1288040.0,63625.0,20.24,75.0,42.68,
2023-MAM,spring,431,1138420.0,55197.0,20.62,100.0,42.68,
2023-JJA,summer,391,1139620.0,52545.0,21.69,100.0,46.34,
2023-SON,autumn,331,1007820.0,46748.0,21.56,100.0,46.34,
2024-DJF,winter,271,817020.0,39613.0,20.63,100.0,46.34,
2024-MAM,spring,91,288900.0,17236.0,16.76,100.0,46.34,partial
