week,n_trips,kg_total,km_total,kg_per_km,driver_prefill_median,sensor_fillpct_median
2020-W01,29,70440.0,3781.0,18.63,75.0,100.0
2020-W02,52,133320.0,6506.0,20.49,75.0,100.0
2020-W03,53,130060.0,6594.0,19.72,75.0,100.0
2020-W04,52,126440.0,6300.0,20.07,68.8,100.0
2020-W05,55,133360.0,7342.0,18.16,50.0,100.0
2020-W06,62,169940.0,8071.0,21.06,75.0,100.0
2020-W07,57,138720.0,7389.0,18.77,75.0,100.0
2020-W08,57,142400.0,6997.0,20.35,75.0,100.0
2020-W09,59,137280.0,7299.0,18.81,75.0,100.0
2020-W10,56,156960.0,7053.0,22.25,56.2,100.0
2020-W11,57,124500.0,7264.0,17.14,62.5,100.0
2020-W12,52,131460.0,6417.0,20.49,75.0,100.0
2020-W13,54,129820.0,6863.0,18.92,75.0,100.0
2020-W14,49,123360.0,6000.0,20.56,68.8,100.0
2020-W15,55,161960.0,7118.0,22.75,50.0,100.0
2020-W16,55,146900.0,7242.0,20.28,62.5,100.0
2020-W17,58,148240.0,7434.0,19.94,75.0,100.0
2020-W18,54,144380.0,6817.0,21.18,75.0,100.0
2020-W19,59,169540.0,7629.0,22.22,68.8,100.0
2020-W20,60,155580.0,7911.0,19.67,75.0,100.0
2020-W21,52,131560.0,6509.0,20.21,75.0,100.0
2020-W22,58,163840.0,7694.0,21.29,75.0,100.0
2020-W23,52,112380.0,6688.0,16.8,75.0,100.0
2020-W24,56,141740.0,6953.0,20.39,87.5,100.0
2020-W25,54,151440.0,6942.0,21.82,75.0,100.0
2020-W26,55,126000.0,6920.0,18.21,75.0,100.0
2020-W27,52,123160.0,6686.0,18.42,75.0,100.0
2020-W28,49,126760.0,6248.0,20.29,87.5,100.0
2020-W29,54,131900.0,6921.0,19.06,75.0,100.0
2020-W30,56,142480.0,7200.0,19.79,75.0,100.0
2020-W31,62,163360.0,8279.0,19.73,75.0,100.0
2020-W32,63,196980.0,8084.0,24.37,75.0,100.0
2020-W33,63,157140.0,8175.0,19.22,75.0,100.0
2020-W34,59,178380.0,7653.0,23.31,87.5,100.0
2020-W35,59,149180.0,7758.0,19.23,100.0,100.0
2020-W36,62,182980.0,8001.0,22.87,75.0,100.0
2020-W37,56,140060.0,7236.0,19.36,75.0,100.0
2020-W38,51,120320.0,6475.0,18.58,75.0,100.0
2020-W39,55,143900.0,7046.0,20.42,75.0,100.0
2020-W40,46,122420.0,5783.0,21.17,75.0,100.0
2020-W41,54,140880.0,7433.0,18.95,75.0,100.0
2020-W42,47,100180.0,5925.0,16.91,87.5,100.0
2020-W43,51,122580.0,6430.0,19.06,75.0,46.34
2020-W44,53,129820.0,6643.0,19.54,62.5,42.68
2020-W45,48,108480.0,6134.0,17.69,75.0,26.83
2020-W46,56,147620.0,7530.0,19.6,62.5,34.15
2020-W47,49,110560.0,6341.0,17.44,50.0,29.27
2020-W48,44,104080.0,5774.0,18.03,68.8,36.59
2020-W49,50,120660.0,6317.0,19.1,50.0,24.39
2020-W50,46,106080.0,5914.0,17.94,62.5,29.27
2020-W51,44,101780.0,5711.0,17.82,62.5,32.93
2020-W52,49,136120.0,6339.0,21.47,100.0,39.02
2020-W53,41,110320.0,5196.0,21.23,100.0,40.85
2021-W01,50,116760.0,6080.0,19.2,81.2,39.02
2021-W02,43,84020.0,5501.0,15.27,62.5,32.93
2021-W03,51,133220.0,6609.0,20.16,56.2,32.93
2021-W04,50,108020.0,6184.0,17.47,50.0,29.27
2021-W05,50,119580.0,6192.0,19.31,75.0,27.71
2021-W06,51,139280.0,6592.0,21.13,75.0,35.37
2021-W07,54,162560.0,7028.0,23.13,75.0,36.59
2021-W08,48,128520.0,6221.0,20.66,75.0,32.93
2021-W09,49,126160.0,6491.0,19.44,100.0,39.02
2021-W10,49,122680.0,6317.0,19.42,75.0,40.85
2021-W11,48,120200.0,6344.0,18.95,93.8,40.24
2021-W12,54,140240.0,7244.0,19.36,87.5,43.29
2021-W13,47,105780.0,6260.0,16.9,75.0,40.24
2021-W14,51,130640.0,6732.0,19.41,75.0,40.24
2021-W15,55,168500.0,6743.0,24.99,75.0,39.02
2021-W16,52,130680.0,6684.0,19.55,87.5,39.02
2021-W17,52,118300.0,6570.0,18.01,93.8,40.24
2021-W18,52,142980.0,6860.0,20.84,93.8,41.46
2021-W19,55,142040.0,6991.0,20.32,75.0,41.46
2021-W20,55,133340.0,6763.0,19.72,75.0,39.02
2021-W21,56,140000.0,7255.0,19.3,75.0,39.02
2021-W22,59,158400.0,7440.0,21.29,100.0,39.76
2021-W23,54,146060.0,6937.0,21.06,75.0,42.07
2021-W24,54,130780.0,7026.0,18.61,75.0,36.59
2021-W25,55,138740.0,6857.0,20.23,100.0,39.02
2021-W26,58,147440.0,7895.0,18.68,75.0,42.68
2021-W27,53,144720.0,6740.0,21.47,75.0,42.68
2021-W28,58,150900.0,7654.0,19.72,81.2,40.24
2021-W29,63,155360.0,8292.0,18.74,75.0,41.46
2021-W30,59,137240.0,7724.0,17.77,87.5,45.12
2021-W31,64,185660.0,8177.0,22.71,75.0,37.8
2021-W32,66,153700.0,8917.0,17.24,62.5,35.37
2021-W33,61,145000.0,8075.0,17.96,75.0,39.02
2021-W34,67,190240.0,8978.0,21.19,75.0,40.24
2021-W35,61,166740.0,8185.0,20.37,75.0,40.24
2021-W36,56,125700.0,7203.0,17.45,87.5,39.02
2021-W37,54,161960.0,7020.0,23.07,100.0,40.24
2021-W38,57,139180.0,7573.0,18.38,75.0,41.46
2021-W39,54,137980.0,7001.0,19.71,75.0,41.46
2021-W40,60,143900.0,7850.0,18.33,93.8,42.17
2021-W41,59,145780.0,7309.0,19.95,75.0,40.85
2021-W42,54,117940.0,6915.0,17.06,75.0,39.02
2021-W43,60,151380.0,7704.0,19.65,75.0,40.24
2021-W44,54,127560.0,7124.0,17.91,100.0,39.02
2021-W45,50,112680.0,6412.0,17.57,75.0,40.24
2021-W46,55,128280.0,7482.0,17.15,75.0,40.24
2021-W47,50,123760.0,6597.0,18.76,75.0,37.8
2021-W48,51,111480.0,6610.0,16.87,75.0,40.24
2021-W49,53,122020.0,6855.0,17.8,75.0,40.24
2021-W50,52,113860.0,6511.0,17.49,75.0,40.24
2021-W51,47,117180.0,6216.0,18.85,75.0,39.02
2021-W52,48,136280.0,6357.0,21.44,100.0,46.34
2022-W01,57,141900.0,7302.0,19.43,100.0,45.12
2022-W02,52,135580.0,6624.0,20.47,100.0,42.68
2022-W03,51,114960.0,6759.0,17.01,75.0,39.76
2022-W04,50,113940.0,6204.0,18.37,75.0,40.24
2022-W05,50,119220.0,6245.0,19.09,75.0,40.24
2022-W06,53,120140.0,6982.0,17.21,75.0,41.46
2022-W07,48,95160.0,6152.0,15.47,37.5,39.39
2022-W08,53,139720.0,7016.0,19.91,75.0,39.02
2022-W09,50,129260.0,6563.0,19.7,87.5,40.24
2022-W10,54,140680.0,7278.0,19.33,75.0,41.46
2022-W11,52,126560.0,6893.0,18.36,75.0,40.24
2022-W12,51,111600.0,6662.0,16.75,50.0,39.02
2022-W13,51,130500.0,6965.0,18.74,87.5,42.17
2022-W14,53,114080.0,6803.0,16.77,87.5,40.24
2022-W15,58,151260.0,7477.0,20.23,87.5,40.24
2022-W16,46,103460.0,5814.0,17.79,75.0,40.24
2022-W17,49,119820.0,6188.0,19.36,87.5,40.24
2022-W18,54,116100.0,7416.0,15.66,75.0,40.24
2022-W19,48,103760.0,6190.0,16.76,75.0,41.46
2022-W20,45,93500.0,5766.0,16.22,75.0,42.68
2022-W21,54,139600.0,6878.0,20.3,75.0,40.24
2022-W22,50,134740.0,6653.0,20.25,87.5,39.02
2022-W23,51,124760.0,6566.0,19.0,100.0,41.82
2022-W24,47,108620.0,6221.0,17.46,100.0,40.24
2022-W25,51,130840.0,6817.0,19.19,100.0,41.46
2022-W26,47,106480.0,6174.0,17.25,75.0,37.8
2022-W27,51,122820.0,6821.0,18.01,87.5,40.24
2022-W28,54,136800.0,7024.0,19.48,100.0,41.46
2022-W29,50,118640.0,6609.0,17.95,100.0,42.68
2022-W30,52,142920.0,6745.0,21.19,100.0,43.9
2022-W31,55,121660.0,7107.0,17.12,100.0,45.12
2022-W32,54,149120.0,7521.0,19.83,87.5,43.9
2022-W33,54,142380.0,7232.0,19.69,87.5,40.24
2022-W34,49,113740.0,6703.0,16.97,87.5,42.68
2022-W35,47,107660.0,6130.0,17.56,81.2,43.9
2022-W36,49,118100.0,6538.0,18.06,87.5,45.12
2022-W37,50,133700.0,6223.0,21.48,87.5,42.68
2022-W38,45,122040.0,5549.0,21.99,75.0,40.24
2022-W39,45,115840.0,6155.0,18.82,75.0,42.68
2022-W40,39,109740.0,5140.0,21.35,87.5,42.68
2022-W41,39,105060.0,4909.0,21.4,75.0,42.68
2022-W42,46,126380.0,6194.0,20.4,100.0,41.46
2022-W43,46,106320.0,5874.0,18.1,75.0,40.24
2022-W44,44,99680.0,5514.0,18.08,100.0,40.24
2022-W45,42,114960.0,5580.0,20.6,75.0,39.02
2022-W46,40,124900.0,5133.0,24.33,75.0,39.02
2022-W47,40,107180.0,5198.0,20.62,93.8,39.63
2022-W48,34,90220.0,4666.0,19.34,75.0,41.46
2022-W49,38,101200.0,4910.0,20.61,75.0,40.24
2022-W50,34,84700.0,4877.0,17.37,87.5,41.82
2022-W51,42,139500.0,5652.0,24.68,100.0,41.46
2022-W52,42,116740.0,5537.0,21.08,100.0,46.34
2023-W01,45,132040.0,5746.0,22.98,75.0,40.97
2023-W02,33,81740.0,4174.0,19.58,100.0,40.24
2023-W03,42,119500.0,5530.0,21.61,75.0,39.02
2023-W04,37,92720.0,5254.0,17.65,75.0,42.68
2023-W05,39,105720.0,4894.0,21.6,75.0,45.12
2023-W06,32,66980.0,4145.0,16.16,100.0,43.9
2023-W07,36,80980.0,4640.0,17.45,75.0,45.12
2023-W08,34,86100.0,4373.0,19.69,100.0,43.03
2023-W09,41,121500.0,5325.0,22.82,75.0,43.9
2023-W10,30,72560.0,3910.0,18.56,75.0,42.68
2023-W11,30,75520.0,3802.0,19.86,100.0,41.46
2023-W12,30,77080.0,3794.0,20.32,100.0,40.24
2023-W13,35,97080.0,4516.0,21.5,75.0,45.12
2023-W14,35,93920.0,4646.0,20.22,100.0,45.12
2023-W15,34,75300.0,4267.0,17.65,75.0,45.12
2023-W16,36,89440.0,4525.0,19.77,100.0,42.68
2023-W17,36,100540.0,4603.0,21.84,100.0,41.46
2023-W18,29,70180.0,3654.0,19.21,75.0,43.9
2023-W19,31,79520.0,3941.0,20.18,100.0,41.46
2023-W20,30,91300.0,3949.0,23.12,100.0,43.9
2023-W21,33,103640.0,4086.0,25.36,100.0,41.46
2023-W22,28,74080.0,3754.0,19.73,75.0,42.68
2023-W23,29,77560.0,3748.0,20.69,75.0,43.37
2023-W24,28,90520.0,3757.0,24.09,75.0,45.12
2023-W25,31,80740.0,4091.0,19.74,75.0,46.34
2023-W26,28,76200.0,3778.0,20.17,100.0,46.34
2023-W27,36,106320.0,4627.0,22.98,100.0,58.54
2023-W28,31,97060.0,4373.0,22.2,100.0,51.81
2023-W29,28,75100.0,3701.0,20.29,100.0,53.01
2023-W30,28,80420.0,3891.0,20.67,75.0,46.34
2023-W31,31,83680.0,4175.0,20.04,100.0,45.12
2023-W32,32,104000.0,4337.0,23.98,100.0,46.34
2023-W33,29,83680.0,3853.0,21.72,100.0,46.34
2023-W34,30,103560.0,4041.0,25.63,100.0,39.76
2023-W35,24,60580.0,3321.0,18.24,100.0,45.12
2023-W36,25,80260.0,3514.0,22.84,100.0,42.68
2023-W37,30,89660.0,4179.0,21.45,75.0,41.46
2023-W38,34,113040.0,4643.0,24.35,75.0,45.12
2023-W39,30,86520.0,4506.0,19.2,75.0,36.59
2023-W40,27,72340.0,3907.0,18.52,100.0,46.34
2023-W41,23,66580.0,3173.0,20.98,100.0,46.34
2023-W42,21,65120.0,3045.0,21.39,100.0,46.34
2023-W43,24,81360.0,3318.0,24.52,87.5,46.34
2023-W44,24,80880.0,3355.0,24.11,100.0,46.34
2023-W45,25,84820.0,3503.0,24.21,75.0,46.34
2023-W46,19,55940.0,2695.0,20.76,100.0,45.24
2023-W47,24,57180.0,3410.0,16.77,100.0,41.46
2023-W48,24,79540.0,3424.0,23.23,100.0,40.24
2023-W49,21,61600.0,2823.0,21.82,100.0,40.48
2023-W50,22,52560.0,3098.0,16.97,100.0,46.34
2023-W51,32,97840.0,4784.0,20.45,100.0,46.34
2023-W52,27,81980.0,3783.0,21.67,100.0,49.1
2024-W01,19,57000.0,2922.0,19.51,100.0,46.34
2024-W02,20,62860.0,2875.0,21.86,100.0,46.34
2024-W03,21,72240.0,3177.0,22.74,100.0,44.05
2024-W04,22,74580.0,3381.0,22.06,100.0,46.34
2024-W05,21,67280.0,3279.0,20.52,100.0,46.34
2024-W06,16,31100.0,2356.0,13.2,100.0,42.68
2024-W07,17,47840.0,2555.0,18.72,100.0,46.34
2024-W08,16,53680.0,2315.0,23.19,100.0,45.12
2024-W09,16,51860.0,2160.0,24.01,100.0,41.46
